BirdID	FlockID	HeadUps	FlockSize	TideState	NumPecks	TotalAggression	TimeOfDay	TimeHighTide	DaysStartWinter	Temperature
673	86	4	6	High	19	0	0.2	19	81	9.7
674	86	3	6	High	18	0	0.21	22	81	9.7
677	86	0	6	High	17	0	0.21	25	81	9.7
675	87	6	7	High	29	0	0.21	24	81	9.7
679	87	0	7	High	13	0	0.21	26	81	9.7
681	87	1	7	High	16	0	0.22	28	81	9.7
683	87	2	7	High	17	0	0.22	30	81	9.7
685	87	0	7	High	19	0	0.23	32	81	9.7
687	87	0	7	High	9	0	0.23	34	81	9.7
689	87	11	7	High	33	0	0.23	36	81	9.7
690	87	3	7	High	16	0	0.24	38	81	9.7
660	88	7	8	High	32	0	0.17	0	81	9.7
661	88	3	8	High	18	0	0.17	1	81	9.7
662	88	6	8	High	31	0	0.17	3	81	9.7
663	88	5	8	High	21	0	0.18	4	81	9.7
664	89	6	8	High	31	0	0.18	5	81	9.7
665	89	4	8	High	27	0	0.18	7	81	9.7
666	89	8	8	High	9	0	0.18	8	81	9.7
667	89	4	8	High	25	0	0.19	10	81	9.7
668	89	5	8	High	17	0	0.19	12	81	9.7
669	89	2	8	High	31	0	0.19	13	81	9.7
670	89	4	8	High	5	0	0.19	14	81	9.7
671	89	5	8	High	17	0	0.2	16	81	9.7
672	89	2	8	High	24	0	0.2	18	81	9.7
676	89	3	8	High	10	0	0.21	24	81	9.7
678	89	5	8	High	27	0	0.21	25	81	9.7
680	89	7	8	High	27	0	0.22	27	81	9.7
682	89	3	8	High	13	0	0.22	29	81	9.7
684	89	3	8	High	26	0	0.22	31	81	9.7
686	89	2	8	High	11	0	0.23	33	81	9.7
688	89	2	8	High	27	0	0.23	35	81	9.7
691	90	2	9	High	20	0	0.25	44	81	9.7
692	90	5	9	High	40	0	0.27	55	81	10.3
693	90	0	9	High	9	0	0.27	0	81	10.3
706	91	1	58	High	21	0	0.06	-21	95	2.6
707	91	2	58	High	9	1	0.06	-20	95	2.6
708	91	2	58	High	24	0	0.06	-19	95	2.6
709	91	0	58	High	25	0	0.06	-18	95	2.6
710	91	2	58	High	25	1	0.07	-17	95	2.6
711	91	1	58	High	11	1	0.07	-16	95	2.6
712	91	1	58	High	16	0	0.07	-15	95	2.6
713	91	3	58	High	22	0	0.07	-14	95	2.6
714	91	1	58	High	24	0	0.07	-13	95	2.6
715	91	3	58	High	12	0	0.07	-12	95	2.6
716	91	0	58	High	16	0	0.07	-11	95	2.6
717	91	2	58	High	4	0	0.08	-10	95	2.5
718	91	0	58	High	12	0	0.08	-9	95	2.5
719	91	0	58	High	27	0	0.08	-8	95	2.5
720	91	0	58	High	13	0	0.08	-7	95	2.5
721	91	0	58	High	20	0	0.08	-6	95	2.5
722	91	1	58	High	29	0	0.08	-5	95	2.5
723	91	2	58	High	9	1	0.09	-4	95	2.5
724	91	1	58	High	22	0	0.09	-3	95	2.5
725	91	1	58	High	13	1	0.09	-2	95	2.5
726	91	1	58	High	18	1	0.09	-1	95	2.5
727	91	0	58	High	17	0	0.09	1	95	2.5
728	91	2	58	High	20	0	0.1	5	95	2.5
729	91	0	58	High	7	1	0.1	7	95	2.5
730	91	0	58	High	18	0	0.11	10	95	2.5
731	91	0	58	High	20	1	0.11	12	95	2.5
732	91	0	58	High	11	1	0.12	15	95	2.5
733	91	0	58	High	9	0	0.12	16	95	2.5
734	91	1	58	High	15	1	0.13	20	95	2.5
735	91	2	58	High	21	0	0.15	37	95	2.5
736	91	0	58	High	21	0	0.15	38	95	2.5
737	91	0	58	High	19	0	0.16	39	95	2.5
738	91	0	58	High	12	0	0.16	40	95	2.5
739	91	9	58	High	26	0	0.16	41	95	2.5
740	91	1	58	High	11	0	0.16	42	95	2.5
741	92	0	72	High	15	0	0.16	43	95	2.5
742	92	4	72	High	24	0	0.16	44	95	2.5
743	92	0	72	High	19	0	0.17	45	95	2.5
744	92	2	72	High	7	0	0.17	46	95	2.5
745	92	0	72	High	18	0	0.17	47	95	2.5
746	92	1	72	High	20	0	0.17	48	95	2.5
747	92	0	72	High	19	0	0.17	49	95	2.5
748	92	0	72	High	12	0	0.18	51	95	2.3
749	92	1	72	High	14	0	0.19	58	95	2.3
750	92	0	72	High	9	1	0.19	2	95	2.3
751	92	2	72	High	20	0	0.2	5	95	2.3
752	92	0	72	High	11	0	0.2	7	95	2.3
753	92	3	72	High	31	1	0.22	20	95	2.3
754	92	0	72	High	18	0	0.23	22	95	2.3
755	92	0	72	High	14	0	0.24	28	95	2.3
756	92	2	72	High	25	1	0.24	29	95	2.3
757	92	0	72	High	11	0	0.24	30	95	2.3
758	92	0	72	High	4	0	0.24	33	95	2.3
759	92	1	72	High	21	0	0.25	36	95	2.3
760	92	3	72	High	23	1	0.26	40	95	2.3
761	92	0	72	High	24	1	0.26	44	95	2.3
762	92	2	72	High	16	0	0.27	46	95	2.3
763	92	0	72	High	9	0	0.27	52	95	3
764	92	1	72	High	16	0	0.28	53	95	3
189	93	5	6	High	14	0	0.77	-29	29	13.7
187	94	5	14	High	20	0	0.76	-35	29	13.7
188	95	5	20	High	21	0	0.76	-32	29	13.7
185	96	7	21	High	15	0	0.75	-41	29	13.7
186	96	7	21	High	6	0	0.75	-38	29	13.7
128	97	1	7	High	6	0	0.39	-38	25	4.4
144	98	6	8	High	4	0	0.45	-2	25	5.7
163	99	7	3	High	17	0	0.55	-11	25	6.5
145	100	2	4	High	8	0	0.46	-59	25	5.7
147	100	4	4	High	17	0	0.47	-56	25	5.7
148	100	0	4	High	13	1	0.47	-53	25	5.7
132	101	3	5	High	17	1	0.41	-26	25	5.7
133	102	1	6	High	16	0	0.42	-23	25	5.7
134	102	0	6	High	14	0	0.42	-20	25	5.7
151	102	2	6	High	24	0	0.48	-47	25	5.7
169	102	0	6	High	18	0	0.58	8	25	6.5
136	103	1	6	High	9	0	0.43	-14	25	5.7
150	104	0	7	High	16	0	0.48	-50	25	5.7
129	105	4	8	High	18	0	0.4	-35	25	4.4
130	105	4	8	High	20	1	0.4	-32	25	4.4
171	105	0	8	High	30	0	0.59	11	25	6.5
158	106	3	8	High	33	0	0.53	-23	25	6.5
160	106	0	8	High	22	1	0.53	-19	25	6.5
131	107	7	9	High	30	0	0.41	-29	25	5.7
155	108	0	9	High	22	1	0.51	-31	25	5.7
156	108	2	9	High	14	1	0.52	-27	25	6.5
600	109	0	7	High	22	0	0.36	56	67	5.2
601	109	0	7	High	24	0	0.36	58	67	5.2
602	109	0	7	High	9	0	0.36	0	67	5.2
603	109	0	7	High	17	1	0.37	2	67	5.2
604	109	6	7	High	17	0	0.37	3	67	5.2
605	109	0	7	High	11	0	0.37	5	67	5.2
606	109	0	7	High	9	0	0.38	7	67	5.2
607	109	0	7	High	9	1	0.38	9	67	5.2
550	110	1	9	High	11	0	0.17	-45	67	4.9
552	110	0	9	High	12	0	0.17	-42	67	4.9
554	110	6	9	High	16	0	0.18	-39	67	4.9
556	110	1	9	High	12	0	0.19	-36	67	4.9
558	110	1	9	High	9	0	0.19	-33	67	4.9
560	110	0	9	High	8	0	0.2	-30	67	4.9
562	110	1	9	High	10	0	0.2	-27	67	4.9
551	111	1	4	High	9	0	0.17	-44	67	4.9
553	111	3	4	High	3	0	0.18	-41	67	4.9
555	111	4	4	High	8	0	0.74	22	67	5.9
569	111	3	4	High	13	0	0.22	-17	67	4.9
557	112	3	5	High	4	0	0.19	-35	67	4.9
571	113	2	6	High	18	0	0.23	-13	67	4.9
573	113	0	6	High	9	0	0.23	-10	67	4.9
575	113	0	6	High	4	0	0.24	-8	67	4.9
2	114	3	3	Low	10	0	0.58	19	4	6
1	115	2	5	Low	14	0	0.57	13	4	6
8	116	2	10	Low	9	0	0.72	43	4	7.2
